genome_id;contig_id;ORF_id;ORF_length_bp;ORF_strand;ORF_start;ORF_end;VR;VR_strand;VR_start;VR_end;VR_position;TR_orig_start;TR_orig_end;VR_length_bp;TR_length_bp;VR_A-N mut;VR_non A-N mut;database;ORF_ftype;ftype;gene;EC_number;COG;product;metagenome_id;genome_length;num_contigs;otu_id;biome;ecosystem_category;ecosystem_type;habitat;domain;phylum
3300025642_40;3300025642.a:Ga0208648_1000010;3300025642_40___00762;1068;+;131993;133060;VR;+;127521;132522;;78876;78925;5002;50;0;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300025642;1001184;8;OTU-16094;Aquatic;Non-marine Saline and Alkaline;Non-marine Saline and Alkaline;Saline lake;d__Archaea;p__Nanoarchaeota
3300028581_23;3300028581.a:Ga0247840_10016850;3300028581_23___00182;930;+;4;933;VR;+;787;926;end;4636;4685;140;50;14;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300028581;4154240;629;OTU-8659;Aquatic;Freshwater;Freshwater;Freshwater;d__Bacteria;p__Desulfobacterota
3300028581_23;3300028581.a:Ga0247840_10016850;3300028581_23___00183;627;+;1057;1683;VR;+;1552;1643;end;838;887;92;50;8;3;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300028581;4154240;629;OTU-8659;Aquatic;Freshwater;Freshwater;Freshwater;d__Bacteria;p__Desulfobacterota
3300028581_23;3300028581.a:Ga0247840_10016850;3300028581_23___00183;627;+;1057;1683;VR;+;1537;1676;end;4636;4685;140;50;19;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300028581;4154240;629;OTU-8659;Aquatic;Freshwater;Freshwater;Freshwater;d__Bacteria;p__Desulfobacterota
3300028581_23;3300028581.a:Ga0247840_10016850;3300028581_23___00184;1707;+;1843;3549;VR;+;3402;3542;end;4636;4685;141;50;12;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300028581;4154240;629;OTU-8659;Aquatic;Freshwater;Freshwater;Freshwater;d__Bacteria;p__Desulfobacterota
3300028581_23;3300028581.a:Ga0247840_10016850;3300028581_23___00188;606;+;6868;7473;VR;+;7325;7466;end;4636;4685;142;50;11;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300028581;4154240;629;OTU-8659;Aquatic;Freshwater;Freshwater;Freshwater;d__Bacteria;p__Desulfobacterota
3300028581_23;3300028581.a:Ga0247840_10036723;3300028581_23___00434;1191;+;15;1205;VR;+;1123;1207;end;1936;1961;85;26;13;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300028581;4154240;629;OTU-8659;Aquatic;Freshwater;Freshwater;Freshwater;d__Bacteria;p__Desulfobacterota
3300028581_23;3300028581.a:Ga0247840_10026229;3300028581_23___01175;1233;+;2071;3303;VR;+;3174;3323;end;4031;4099;150;69;18;3;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300028581;4154240;629;OTU-8659;Aquatic;Freshwater;Freshwater;Freshwater;d__Bacteria;p__Desulfobacterota
3300008299_26;3300008299.a:Ga0114868_1002450;3300008299_26___00961;714;+;786;1499;VR;+;840;910;begin;584;636;71;53;0;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300008299;1669434;83;OTU-6666;Host-associated;Human;Digestive system;Human;d__Bacteria;p__Proteobacteria
3300008299_26;3300008299.a:Ga0114868_1002450;3300008299_26___00961;714;+;786;1499;VR;+;1110;1179;middle;584;636;70;53;3;3;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300008299;1669434;83;OTU-6666;Host-associated;Human;Digestive system;Human;d__Bacteria;p__Proteobacteria
3300008299_26;3300008299.a:Ga0114868_1002450;3300008299_26___00961;714;+;786;1499;VR;+;1109;1179;middle;846;898;71;53;3;3;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300008299;1669434;83;OTU-6666;Host-associated;Human;Digestive system;Human;d__Bacteria;p__Proteobacteria
3300008299_26;3300008299.a:Ga0114868_1002450;3300008299_26___00961;714;+;786;1499;VR;+;844;909;begin;1116;1176;66;61;3;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300008299;1669434;83;OTU-6666;Host-associated;Human;Digestive system;Human;d__Bacteria;p__Proteobacteria
3300008299_26;3300008299.a:Ga0114868_1002450;3300008299_26___00961;714;+;786;1499;VR;+;1084;1139;middle;1633;1669;56;37;2;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300008299;1669434;83;OTU-6666;Host-associated;Human;Digestive system;Human;d__Bacteria;p__Proteobacteria
3300008299_26;3300008299.a:Ga0114868_1002450;3300008299_26___00961;714;+;786;1499;VR;+;1357;1409;end;1633;1669;53;37;0;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300008299;1669434;83;OTU-6666;Host-associated;Human;Digestive system;Human;d__Bacteria;p__Proteobacteria
3300008299_26;3300008299.a:Ga0114868_1002450;3300008299_26___00962;558;+;1594;2151;VR;+;1648;1708;begin;584;636;61;53;7;2;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300008299;1669434;83;OTU-6666;Host-associated;Human;Digestive system;Human;d__Bacteria;p__Proteobacteria
3300008299_26;3300008299.a:Ga0114868_1002450;3300008299_26___00962;558;+;1594;2151;VR;+;1647;1708;begin;846;898;62;53;7;2;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300008299;1669434;83;OTU-6666;Host-associated;Human;Digestive system;Human;d__Bacteria;p__Proteobacteria
3300008299_26;3300008299.a:Ga0114868_1002450;3300008299_26___00962;558;+;1594;2151;VR;+;1652;1726;begin;1116;1176;75;61;10;3;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300008299;1669434;83;OTU-6666;Host-associated;Human;Digestive system;Human;d__Bacteria;p__Proteobacteria
3300008299_26;3300008299.a:Ga0114868_1002450;3300008299_26___00962;558;+;1594;2151;VR;+;1622;1684;begin;1368;1417;63;50;0;2;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300008299;1669434;83;OTU-6666;Host-associated;Human;Digestive system;Human;d__Bacteria;p__Proteobacteria
3300008299_26;3300008299.a:Ga0114868_1002450;3300008299_26___00962;558;+;1594;2151;VR;+;1609;1684;begin;2185;2234;76;50;2;3;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300008299;1669434;83;OTU-6666;Host-associated;Human;Digestive system;Human;d__Bacteria;p__Proteobacteria
3300029103_16;3300029103.a:Ga0169220_101372;3300029103_16___00417;234;+;1221;1454;VR;+;1347;1407;middle;281;333;61;53;7;3;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029103;1806202;96;OTU-6666;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029103_16;3300029103.a:Ga0169220_101372;3300029103_16___00417;234;+;1221;1454;VR;+;1346;1407;middle;543;595;62;53;7;3;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029103;1806202;96;OTU-6666;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029103_16;3300029103.a:Ga0169220_101372;3300029103_16___00417;234;+;1221;1454;VR;+;1321;1383;middle;1067;1116;63;50;0;3;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029103;1806202;96;OTU-6666;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029103_16;3300029103.a:Ga0169220_101372;3300029103_16___00417;234;+;1221;1454;VR;+;1308;1383;middle;1885;1934;76;50;2;2;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029103;1806202;96;OTU-6666;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300010998_17;3300010998.a:Ga0139311_1007302;3300010998_17___00027;2160;-;2986;5145;VR;-;2992;3127;begin;2143;2187;136;45;13;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300010998;2873811;212;OTU-5877;Host-associated;Microbial;Dinoflagellates;Moose rumen;d__Bacteria;p__Bacteroidota
3300010998_17;3300010998.a:Ga0139311_1013825;3300010998_17___01331;2163;+;474;2636;VR;+;2524;2633;end;3431;3478;110;48;16;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300010998;2873811;212;OTU-5877;Host-associated;Microbial;Dinoflagellates;Moose rumen;d__Bacteria;p__Bacteroidota
3300010998_17;3300010998.a:Ga0139311_1003489;3300010998_17___01336;3348;+;1211;4558;VR;+;4360;4550;end;5583;5652;191;70;22;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300010998;2873811;212;OTU-5877;Host-associated;Microbial;Dinoflagellates;Moose rumen;d__Bacteria;p__Bacteroidota
3300010998_17;3300010998.a:Ga0139311_1012083;3300010998_17___01396;2208;+;427;2634;VR;+;2476;2627;end;3350;3448;152;99;15;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300010998;2873811;212;OTU-5877;Host-associated;Microbial;Dinoflagellates;Moose rumen;d__Bacteria;p__Bacteroidota
3300029533_4;3300029533.a:Ga0245046_100781;3300029533_4___01631;2331;-;12831;15161;VR;-;12893;13010;begin;12319;12378;118;60;9;2;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029533;4937971;272;OTU-15234;Host-associated;Human;Digestive system;Human fecal;d__Bacteria;p__Bacteroidota
3300029533_4;3300029533.a:Ga0245046_100113;3300029533_4___02242;1428;-;40151;41578;VR;-;40165;40279;begin;39989;40026;115;38;16;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029533;4937971;272;OTU-15234;Host-associated;Human;Digestive system;Human fecal;d__Bacteria;p__Bacteroidota
3300029533_4;3300029533.a:Ga0245046_100113;3300029533_4___02299;582;-;78193;78774;VR;-;78288;78366;begin;39989;40026;79;38;16;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029533;4937971;272;OTU-15234;Host-associated;Human;Digestive system;Human fecal;d__Bacteria;p__Bacteroidota
3300029533_4;3300029533.a:Ga0245046_100138;3300029533_4___02460;7938;+;37999;45936;VR;+;45793;45908;end;46835;46872;116;38;11;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029533;4937971;272;OTU-15234;Host-associated;Human;Digestive system;Human fecal;d__Bacteria;p__Bacteroidota
3300029533_4;3300029533.a:Ga0245046_101040;3300029533_4___03001;2064;-;5838;7901;VR;-;5842;6028;begin;4442;4491;187;50;22;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029533;4937971;272;OTU-15234;Host-associated;Human;Digestive system;Human fecal;d__Bacteria;p__Bacteroidota
3300014490_14;3300014490.a:Ga0182010_10002057;3300014490_14___00431;591;+;3798;4388;VR;+;4263;4383;end;4776;4825;121;50;11;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300014490;914255;119;OTU-7988;Terrestrial;Soil;Soil;Fen;d__Bacteria;p__Patescibacteria
3300014490_14;3300014490.a:Ga0182010_10007798;3300014490_14___00759;798;-;4068;4865;VR;-;4097;4207;begin;3756;3805;111;50;19;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300014490;914255;119;OTU-7988;Terrestrial;Soil;Soil;Fen;d__Bacteria;p__Patescibacteria
3300014502_70;3300014502.a:Ga0182021_10013738;3300014502_70___00716;591;+;3827;4417;VR;+;4292;4412;end;4772;4821;121;50;11;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300014502;852998;98;OTU-7988;Terrestrial;Soil;Soil;Fen;d__Bacteria;p__Patescibacteria
3300014502_70;3300014502.a:Ga0182021_10049927;3300014502_70___00837;678;+;31;708;VR;+;567;677;end;970;1019;111;50;19;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300014502;852998;98;OTU-7988;Terrestrial;Soil;Soil;Fen;d__Bacteria;p__Patescibacteria
3300029004_6;3300029004.a:Ga0169688_100085;3300029004_6___00375;240;-;11262;11501;VR;-;11343;11376;middle;12107;12131;34;25;0;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029004;1882601;46;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029004_6;3300029004.a:Ga0169688_100085;3300029004_6___00377;822;-;13554;14375;VR;-;13587;13648;begin;11352;11401;62;50;15;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029004;1882601;46;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029004_6;3300029004.a:Ga0169688_100085;3300029004_6___00377;822;-;13554;14375;VR;-;13590;13623;begin;12107;12131;34;25;7;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029004;1882601;46;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029004_6;3300029004.a:Ga0169688_100085;3300029004_6___00377;822;-;13554;14375;VR;-;13555;13673;begin;12359;12408;119;50;15;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029004;1882601;46;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029747_27;3300029747.a:Ga0245228_102878;3300029747_27___00851;240;+;1854;2093;VR;+;1977;2010;middle;1474;1499;34;26;0;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029747;1883481;46;OTU-4098;Host-associated;Human;Digestive system;Human fecal;d__Bacteria;p__Proteobacteria
3300029747_27;3300029747.a:Ga0245228_100189;3300029747_27___01415;2322;-;25782;28103;VR;-;26691;26801;middle;29980;30029;111;50;17;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029747;1883481;46;OTU-4098;Host-associated;Human;Digestive system;Human fecal;d__Bacteria;p__Proteobacteria
3300023257_4;3300023257.a:Ga0222658_1004186;3300023257_4___01162;951;-;4005;4955;VR;-;4013;4132;begin;3878;3927;120;50;25;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300023257;2922711;297;OTU-2492;Aquatic;Non-marine Saline and Alkaline;Non-marine Saline and Alkaline;Saline water;d__Bacteria;p__Marinisomatota
3300023257_4;3300023257.a:Ga0222658_1003064;3300023257_4___02323;1611;+;22;1632;VR;+;1508;1629;end;1713;1762;122;50;23;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300023257;2922711;297;OTU-2492;Aquatic;Non-marine Saline and Alkaline;Non-marine Saline and Alkaline;Saline water;d__Bacteria;p__Marinisomatota
3300029002_7;3300029002.a:Ga0169634_100228;3300029002_7___01503;240;-;5901;6140;VR;-;5982;6015;middle;6746;6770;34;25;0;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029002;1789410;61;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029002_7;3300029002.a:Ga0169634_100228;3300029002_7___01504;123;-;6905;7027;VR;-;6986;7047;;5991;6040;62;50;4;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029002;1789410;61;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029002_7;3300029002.a:Ga0169634_100228;3300029002_7___01504;123;-;6905;7027;VR;-;6989;7022;end;6746;6770;34;25;1;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029002;1789410;61;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029002_7;3300029002.a:Ga0169634_100228;3300029002_7___01506;822;-;8383;9204;VR;-;8416;8477;begin;5991;6040;62;50;18;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029002;1789410;61;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029002_7;3300029002.a:Ga0169634_100228;3300029002_7___01506;822;-;8383;9204;VR;-;8419;8452;begin;6746;6770;34;25;9;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029002;1789410;61;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029002_7;3300029002.a:Ga0169634_100228;3300029002_7___01506;822;-;8383;9204;VR;-;8384;8502;begin;6998;7047;119;50;18;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029002;1789410;61;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029094_10;3300029094.a:Ga0169183_100111;3300029094_10___00281;240;-;67345;67584;VR;-;67426;67459;middle;68190;68214;34;25;0;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029094;1748434;52;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029094_10;3300029094.a:Ga0169183_100111;3300029094_10___00282;123;-;67848;67970;VR;-;67929;67990;;67435;67484;62;50;7;3;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029094;1748434;52;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029094_10;3300029094.a:Ga0169183_100111;3300029094_10___00282;123;-;67848;67970;VR;-;67929;68012;;67689;67738;84;50;1;3;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029094;1748434;52;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029094_10;3300029094.a:Ga0169183_100111;3300029094_10___00282;123;-;67848;67970;VR;-;67890;67993;;68442;68491;104;50;4;2;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029094;1748434;52;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029094_10;3300029094.a:Ga0169183_100111;3300029094_10___00283;120;-;68100;68219;VR;-;68181;68242;;67435;67484;62;50;5;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029094;1748434;52;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029094_10;3300029094.a:Ga0169183_100111;3300029094_10___00283;120;-;68100;68219;VR;-;68181;68239;;68442;68491;59;50;2;3;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029094;1748434;52;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029094_10;3300029094.a:Ga0169183_100111;3300029094_10___00284;123;-;68349;68471;VR;-;68430;68491;;67435;67484;62;50;4;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029094;1748434;52;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029094_10;3300029094.a:Ga0169183_100111;3300029094_10___00284;123;-;68349;68471;VR;-;68430;68494;;67689;67738;65;50;0;3;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029094;1748434;52;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029094_10;3300029094.a:Ga0169183_100111;3300029094_10___00284;123;-;68349;68471;VR;-;68433;68466;end;68190;68214;34;25;1;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029094;1748434;52;OTU-4098;Host-associated;Human;Digestive system;Human host-associated;d__Bacteria;p__Proteobacteria
3300029577_28;3300029577.a:Ga0244883_101281;3300029577_28___00534;240;+;1480;1719;VR;+;1603;1636;middle;848;873;34;26;0;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300029577;1854748;42;OTU-4098;Host-associated;Human;Digestive system;Human fecal;d__Bacteria;p__Proteobacteria
3300017522_8;3300017522.a:Ga0185323_1003514;3300017522_8___00024;3195;+;5995;9189;VR;+;9050;9184;end;9426;9475;135;50;18;0;Prodigal:002006;CDS;CDS;egtB_3;1.14.99.50;;Hercynine oxygenase;3300017522;5910062;178;OTU-4272;Aquatic;Freshwater;Freshwater;Freshwater;d__Bacteria;p__Proteobacteria
3300017522_8;3300017522.a:Ga0185323_1003514;3300017522_8___00027;1554;-;11425;12978;VR;-;11428;11561;begin;9426;9475;134;50;17;1;Prodigal:002006;CDS;CDS;egtB_4;1.14.99.50;;Hercynine oxygenase;3300017522;5910062;178;OTU-4272;Aquatic;Freshwater;Freshwater;Freshwater;d__Bacteria;p__Proteobacteria
3300017522_8;3300017522.a:Ga0185323_1012635;3300017522_8___01286;1788;+;163;1950;VR;+;944;1066;middle;3906;3955;123;50;18;2;Prodigal:002006;CDS;CDS;egtB_13;1.14.99.50;;Hercynine oxygenase;3300017522;5910062;178;OTU-4272;Aquatic;Freshwater;Freshwater;Freshwater;d__Bacteria;p__Proteobacteria
3300017522_8;3300017522.a:Ga0185323_1012635;3300017522_8___01286;1788;+;163;1950;VR;+;1836;1916;end;3906;3955;81;50;16;3;Prodigal:002006;CDS;CDS;egtB_13;1.14.99.50;;Hercynine oxygenase;3300017522;5910062;178;OTU-4272;Aquatic;Freshwater;Freshwater;Freshwater;d__Bacteria;p__Proteobacteria
3300017522_8;3300017522.a:Ga0185323_1003875;3300017522_8___02959;2832;-;2292;5123;VR;-;2301;2418;begin;1616;1665;118;50;18;0;Prodigal:002006;CDS;CDS;egtB_25;1.14.99.50;;Hercynine oxygenase;3300017522;5910062;178;OTU-4272;Aquatic;Freshwater;Freshwater;Freshwater;d__Bacteria;p__Proteobacteria
3300008479_28;3300008479.a:Ga0114883_1000170;3300008479_28___00469;240;-;6856;7095;VR;-;6937;6970;middle;7701;7725;34;25;0;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300008479;1815466;48;OTU-4098;Host-associated;Human;Digestive system;Human;d__Bacteria;p__Proteobacteria
3300008479_28;3300008479.a:Ga0114883_1000170;3300008479_28___00471;822;-;9131;9952;VR;-;9132;9228;begin;7953;8002;97;50;19;3;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300008479;1815466;48;OTU-4098;Host-associated;Human;Digestive system;Human;d__Bacteria;p__Proteobacteria
3300021326_34;3300021326.a:Ga0214518_100794;3300021326_34___00902;612;-;20324;20935;VR;-;20357;20436;begin;19847;19896;80;50;11;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300021326;1997128;338;OTU-6360;Host-associated;Mammals;Digestive system;Goate feces;d__Bacteria;p__Firmicutes_A
3300021326_34;3300021326.a:Ga0214518_100794;3300021326_34___00924;633;-;33347;33979;VR;-;33386;33464;begin;19847;19896;79;50;15;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300021326;1997128;338;OTU-6360;Host-associated;Mammals;Digestive system;Goate feces;d__Bacteria;p__Firmicutes_A
3300021326_34;3300021326.a:Ga0214518_101292;3300021326_34___01790;2259;+;18044;20302;VR;+;20185;20292;end;20891;20960;108;70;16;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300021326;1997128;338;OTU-6360;Host-associated;Mammals;Digestive system;Goate feces;d__Bacteria;p__Firmicutes_A
3300014572_8;3300014572.a:Ga0134457_1000015;3300014572_8___01477;822;+;85977;86798;VR;+;86680;86763;end;88155;88229;84;75;13;2;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300014572;1723666;40;OTU-4098;Host-associated;Human;Digestive system;Human fecal;d__Bacteria;p__Proteobacteria
3300014572_8;3300014572.a:Ga0134457_1000015;3300014572_8___01477;822;+;85977;86798;VR;+;86680;86795;end;88424;88473;116;50;16;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300014572;1723666;40;OTU-4098;Host-associated;Human;Digestive system;Human fecal;d__Bacteria;p__Proteobacteria
3300014572_8;3300014572.a:Ga0134457_1000015;3300014572_8___01477;822;+;85977;86798;VR;+;86699;86763;end;89182;89231;65;50;15;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300014572;1723666;40;OTU-4098;Host-associated;Human;Digestive system;Human fecal;d__Bacteria;p__Proteobacteria
3300014572_8;3300014572.a:Ga0134457_1000015;3300014572_8___01479;126;+;88190;88315;VR;+;88165;88232;;89182;89231;68;50;4;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300014572;1723666;40;OTU-4098;Host-associated;Human;Digestive system;Human fecal;d__Bacteria;p__Proteobacteria
